ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key
9439,C13H14N2O3,tertiary,N#CC(c1ccc2c(c1)OCO2)N1CCOCC1,12,base,pKAH1,2.44,chembl,JUDGQLZUYWJUAJ-UHFFFAOYSA-N
114678,C12H18N4O,primary,CC1=C2C(=O)NC(N)N=C2N(CC(C)C)C=C1,10,base,pKAH1,2.29,chembl,JFHPIYDRBRORCK-UHFFFAOYSA-N
109874,C11H14N4O4,tertiary,O=C1CN([C@H]2C[C@@H]2N2CC(=O)NC(=O)C2)CC(=O)N1,3,base,pKAH1,2.62,chembl,CJRYCXUDTLRXOJ-BQBZGAKWSA-N
82264,C10H14N4O,primary,CCCN1C=CC=C2C(=O)NC(N)N=C21,3,base,pKAH1,2.25,chembl,GMLQXCJLQFOMRX-UHFFFAOYSA-N
117081,C9H15NO4,secondary,COC(=O)[C@@H]1CCC[C@@H](C(=O)OC)N1,13,base,pKAH1,2.8,chembl,DTBPRDQEECCDNY-BQBZGAKWSA-N
93908,C11H16N4O,primary,CCCN1C=CC(C)=C2C(=O)NC(N)N=C21,3,base,pKAH1,2.26,chembl,YWSKAQWSPONVPP-UHFFFAOYSA-N
22861,C3H4N2,secondary,N#CC1CN1,4,base,pKAH1,2.61,chembl,PGZUFTROELAOMP-UHFFFAOYSA-N
43972,C5H7N5O4,primary,NC(=O)NC1(N)C(=O)NC(=O)NC1=O,5,base,pKAH1,2.41,chembl,BMYPTJAIXVUJAY-UHFFFAOYSA-N
69097,C11H16N4O,primary,CCCN1C(C)=CC=C2C(=O)NC(N)N=C21,3,base,pKAH1,2.26,chembl,AAAKPBKWFMPTSQ-UHFFFAOYSA-N
90323,C11H16N4O,primary,CC1=CN(C(C)C)C2=NC(N)NC(=O)C2=C1,3,base,pKAH1,2.26,chembl,CTFGANGSIIDBSJ-UHFFFAOYSA-N
22066,C11H13N3O,tertiary,COc1nc(C)ccc1CN1CC1C#N,3,base,pKAH1,2.45,chembl,KOYMTVWMCXDJNV-UHFFFAOYSA-N
108775,C8H8N2,tertiary,C#CCN(CC#C)CC#N,3,base,pKAH1,3.65,chembl,BSSFFFVKZOENTP-UHFFFAOYSA-N
63080,C7H11NO4,secondary,COC(=O)[C@@H]1C[C@H](C(=O)OC)N1,11,base,pKAH1,3.01,chembl,RYEDNANZSWYKTB-SYDPRGILSA-N
94813,C4H7N3O4,secondary,O=C(NO)[C@H]1N[C@@H]1C(=O)NO,5,base,pKAH1,3.02,chembl,WQFFMXTWKARHNS-LWMBPPNESA-N
68524,C9H16N2O5,tertiary,O=C1CN(C2O[C@H](CO)[C@@H](O)[C@H]2O)CCN1,3,base,pKAH1,3.57,chembl,IVVUGGIVZUMZPF-HDPJAJKNSA-N
33066,C13H13N3O5,tertiary,O=C1C(=O)N(CN2CCOCC2)c2ccc([N+](=O)[O-])cc21,6,base,pKAH1,2.92,chembl,QLDDTGDDLGYCQR-UHFFFAOYSA-N
33971,C11H16N4O4,tertiary,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,3,base,pKAH1,3.2,chembl,BMKDZUISNHGIBY-UHFFFAOYSA-N
119585,C11H16N4O5,tertiary,COC(=O)CN1CCN2CC(=O)NC(=O)[C@@H]2[C@@H]1C(N)=O,18,base,pKAH1,3.84,chembl,JTULGOHTAWSEAS-BDAKNGLRSA-N
98914,C12H13N3O3,tertiary,O=C1[C@@H]2CCCN2CN1c1ccc([N+](=O)[O-])cc1,6,base,pKAH1,3.23,chembl,TXYKDKVSVUSEJM-NSHDSACASA-N
59032,C12H14N4O2,tertiary,N#CCN1CCN(c2ccccc2[N+](=O)[O-])CC1,3,base,pKAH1,3.61,chembl,SZZKOMGSYKIYOP-UHFFFAOYSA-N
228,C9H7N5,primary,NC1N=Nc2nc3ccccc3nc21,5,base,pKAH1,3.7,chembl,HNQOBXLEAKVVES-UHFFFAOYSA-N
17357,C9H16N2O7,secondary,O=C1NCC(O)NC12O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,6,base,pKAH1,3.48,chembl,PDBGJSFWRCBNGD-QHEUCDORSA-N
63482,C4H5N3O3,primary,NC1C(=O)NC(=O)NC1=O,0,base,pKAH1,3.81,chembl,PSQZLWHRJMYZHD-UHFFFAOYSA-N
20754,C10H17NO4,secondary,COC(=O)[C@H]1C[C@@H](C(=O)OC(C)(C)C)N1,14,base,pKAH1,3.01,chembl,MAMZFFGKFREQMO-RQJHMYQMSA-N
59719,C12H14N2O2,tertiary,N#CC(c1ccc(O)cc1)N1CCOCC1,10,base,pKAH1,2.93,chembl,ALBNAZLYPCNYDM-UHFFFAOYSA-N
56596,C13H14N2O3,tertiary,O=C1C(=O)N(CN2CCOCC2)c2ccccc21,6,base,pKAH1,3.43,chembl,ZRUIMDMDIRQCKV-UHFFFAOYSA-N
87172,C8H13N7,secondary,Cn1cnc(CNCc2ncn(C)n2)n1,3,base,pKAH1,3.83,chembl,ZBHBXUCMXXJVLF-UHFFFAOYSA-N
8264,C12H18N4O4,tertiary,C[C@H]([C@H](C)N1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,4,base,pKAH1,3.48,chembl,OBYGAPWKTPDTAS-OCAPTIKFSA-N
13652,C10H13N7O4,secondary,COC(=O)c1ncn(CNCn2cnc(C(=O)OC)n2)n1,13,base,pKAH1,3.11,chembl,UXXVOYXYFKBCKS-UHFFFAOYSA-N
99220,C10H12N4O4,tertiary,O=C1CN2C[C@@H]3C(=O)NC(=O)CN3C[C@@H]2C(=O)N1,3,base,pKAH1,2.88,chembl,RAINMJGOXSBWFS-PHDIDXHHSA-N
16255,C12H18N4O4,tertiary,CC(C(C)N1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,4,base,pKAH1,3.48,chembl,OBYGAPWKTPDTAS-UHFFFAOYSA-N
78481,C7H12N2O4,secondary,N#C[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,3,base,pKAH1,3.65,chembl,WPLCPOIAQLRTDR-XUUWZHRGSA-N
106848,C11H19N7,tertiary,CC(C)N(Cc1ncn(C)n1)Cc1ncn(C)n1,13,base,pKAH1,3.07,chembl,ZXSBONAUMAKAHB-UHFFFAOYSA-N
69385,C10H12N4O4,tertiary,O=C1CN2CCN3CC(=O)NC(=O)[C@H]3C2C(=O)N1,3,base,pKAH1,2.89,chembl,CLECXPZAFASKTB-GVHYBUMESA-N
126943,C11H16N4O4,tertiary,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,3,base,pKAH1,3.2,chembl,BMKDZUISNHGIBY-ZETCQYMHSA-N
74262,C10H17NO4,secondary,COC(=O)[C@@H]1C[C@@H](C(=O)OC(C)(C)C)N1,14,base,pKAH1,3.01,chembl,MAMZFFGKFREQMO-BQBZGAKWSA-N
29321,C11H16N4O5,tertiary,O=C1CN(CC(O)CN2CC(=O)NC(=O)C2)CC(=O)N1,3,base,pKAH1,3.63,chembl,BETVCQDWZIIMTJ-UHFFFAOYSA-N
43698,C8H14N2O4,secondary,CC1NC(C#N)(CO)C(O)C(O)C1O,2,base,pKAH1,3.75,chembl,FLLQOHSETIWKRT-UHFFFAOYSA-N
61325,C10H12N4O4,tertiary,O=C1CN2CCN3CC(=O)NC(=O)[C@@H]3C2C(=O)N1,3,base,pKAH1,2.89,chembl,CLECXPZAFASKTB-JAMMHHFISA-N
109467,C11H12N2O3,tertiary,O=C1CN(Cc2ccccc2)CC(=O)N1O,14,base,pKAH1,3.01,chembl,REVOIXBUQBFJHP-UHFFFAOYSA-N
71890,C10H12N4O4,tertiary,O=C1CN2C[C@H]3C(=O)NC(=O)CN3C[C@@H]2C(=O)N1,3,base,pKAH1,2.88,chembl,RAINMJGOXSBWFS-OLQVQODUSA-N
23804,C10H14N4O4,tertiary,O=C1CN(CCN2CC(=O)NC(=O)C2)CC(=O)N1,3,base,pKAH1,2.91,chembl,GBLIGNUYGOFIKS-UHFFFAOYSA-N
1517,C8H12N2O2,tertiary,O=C1CN2CCCC[C@H]2C(=O)N1,3,base,pKAH1,4.47,chembl,FAHMPBBZKRHWJJ-LURJTMIESA-N
4695,C3H6N2O2,secondary,O=C1CNCN1O,5,base,pKAH1,4.38,chembl,PAQPVNMFUTZAOU-UHFFFAOYSA-N
88753,C12H19N3O4,secondary,O=C(CN1C(=O)CNC2(CCCCCC2)C1=O)NO,17,base,pKAH1,4.57,chembl,DHEIZMHUPFVQAV-UHFFFAOYSA-N
60451,C12H20N4O5,tertiary,O=[N+]([O-])C1=C2N(CC3COCO3)CCN2CN(CCO)C1,16,base,pKAH1,3.97,chembl,DUJGRQMABDZIQU-UHFFFAOYSA-N
28088,C12H11NO2,tertiary,O=c1c(CN2CC2)coc2ccccc12,4,base,pKAH1,4.45,chembl,NCNMELLWDDHGLN-UHFFFAOYSA-N
108665,C6H9N5,primary,CN1C=NC(N)c2[nH]cnc21,9,base,pKAH1,4.39,chembl,ICMSBKUUXMDWAQ-UHFFFAOYSA-N
62794,C13H16N2O2,secondary,CC(C)[C@@H]1N[C@H](c2ccccc2)C(=O)NC1=O,4,base,pKAH1,3.85,chembl,MQWZJLHIZPZXEF-WDEREUQCSA-N
98147,C11H12N2O3,tertiary,O=C1NC(=O)[C@@H]2CCCN2[C@H]1c1ccco1,9,base,pKAH1,4.45,chembl,ISBKFDONRSMRAR-CBAPKCEASA-N
28082,C6H10N2O3,secondary,N#C[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O,3,base,pKAH1,4.1,chembl,KOTKTRIZKDUYEA-ZXXMMSQZSA-N
75554,C10H11N3O3,tertiary,CN(CC#N)Cc1cc([N+](=O)[O-])ccc1O,1,base,pKAH1,4.56,chembl,CNKUJAYHZWZABM-UHFFFAOYSA-N
62615,C11H17N3O3,secondary,O=C1CCCN1CCCN1C(=O)CNCC1=O,13,base,pKAH1,4.29,chembl,PFOVYUUUCNZYBY-UHFFFAOYSA-N
118980,C10H14N4O2,tertiary,O=C(NCN1CCOCC1)c1cnccn1,12,base,pKAH1,4.0,chembl,GVTLAVKAVSKBKK-UHFFFAOYSA-N
31600,C7H8N2O4,secondary,O=C(O)C1Cc2c(O)noc2CN1,12,base,pKAH1,4.78,chembl,QOFAMUTZWHXYLI-UHFFFAOYSA-N
4089,C12H13NO3,tertiary,O=C1CCN(Cc2ccc3c(c2)OCO3)C1,4,base,pKAH1,4.71,chembl,XRACFKIUODUWIC-UHFFFAOYSA-N
107380,C10H19NO2,tertiary,CC(=O)OC(C)N1CCCCC1C,6,base,pKAH1,4.38,chembl,BDAJYXDJJHOYSE-UHFFFAOYSA-N
32007,C13H21N3O3,tertiary,CC(C)(C)c1cc(NC(=O)CN2CCOCC2)no1,11,base,pKAH1,4.37,chembl,PVXWJHYFCIBBMS-UHFFFAOYSA-N
14940,C12H20N4O4,tertiary,CCN1CC([N+](=O)[O-])=C2N(CC3COCO3)CCN2C1,2,base,pKAH1,4.37,chembl,SYJATOUADRWTOU-UHFFFAOYSA-N
9630,C11H16N4O4,secondary,CC(CN1C(=O)CNCC1=O)N1C(=O)CNCC1=O,15,base,pKAH1,4.59,chembl,OHTAHPUATLWIOP-UHFFFAOYSA-N
78808,C10H14N8O,tertiary,Nc1nc(N)c2nc(CN3CCOCC3)nnc2n1,2,base,pKAH1,4.53,chembl,KPNCDSYHEKUMBS-UHFFFAOYSA-N
4489,C10H15N3O3,tertiary,Cc1cc(NC(=O)CN2CCOCC2)no1,8,base,pKAH1,4.38,chembl,YZQJRRXKLFSWRT-UHFFFAOYSA-N
85858,C13H24N4O2,tertiary,CCCCC(O)Cn1cc(CN2CCOCC2)nn1,17,base,pKAH1,4.75,chembl,GUWGUBPSKZWYMC-UHFFFAOYSA-N
35042,C12H22N2O4,secondary,CCOC(=O)C1CN(C(=O)OC(C)(C)C)CCN1,17,base,pKAH1,4.0,chembl,IQKOVLZJPVVLOZ-UHFFFAOYSA-N
89561,C5H10N2O2,secondary,CC1NC(C)N(O)C1=O,5,base,pKAH1,4.59,chembl,QDJQWQGOZBIENE-UHFFFAOYSA-N
103733,C9H16N6O3,secondary,CN1C=NC([N+](=O)[O-])C1NCCN1CCNC1=O,3,base,pKAH1,4.55,chembl,HIZHKFQJELPKLM-UHFFFAOYSA-N
49860,C13H21N3O4,secondary,O=C(CN1C(=O)CNC2(CCCCCCC2)C1=O)NO,18,base,pKAH1,4.57,chembl,GMWJBGRUJTZWIX-UHFFFAOYSA-N
110355,C9H9N3O3,secondary,N#CCNCc1cc([N+](=O)[O-])ccc1O,3,base,pKAH1,4.83,chembl,UJXSJZZHSUFNFM-UHFFFAOYSA-N
29965,C13H15NO3,tertiary,O=C(CN1CCOCC1)C(=O)c1ccccc1,3,base,pKAH1,3.99,chembl,GIRQLGMFXQFIED-UHFFFAOYSA-N
116531,C11H12N2O3,tertiary,O=C1NC(=O)[C@@H]2CCCN2[C@H]1c1ccoc1,9,base,pKAH1,4.39,chembl,UYKYBOUWWBCWCM-IUCAKERBSA-N
51384,C9H17NO5,tertiary,COC(=O)CN1C[C@@H](CO)O[C@H](OC)C1,5,base,pKAH1,4.27,chembl,GOCRLYDCEWUGCT-CBAPKCEASA-N
15388,C13H17N3O,tertiary,COc1ccccc1N1CCN(CC#N)CC1,11,base,pKAH1,3.9,chembl,CMNAMTJQXKKSGP-UHFFFAOYSA-N
56197,C13H14N2O2,secondary,COC(=O)[C@@H]1C[C@H](C#N)[C@H](c2ccccc2)N1,16,base,pKAH1,4.24,chembl,XJYOFMULFRBUDM-WOPDTQHZSA-N
63662,C11H16N4O4,secondary,O=C1CNCC(=O)N1CCCN1C(=O)CNCC1=O,15,base,pKAH1,4.59,chembl,WRCQIEUAHHKKLN-UHFFFAOYSA-N
50258,C12H15N3,tertiary,N#CCN1CCN(c2ccccc2)CC1,3,base,pKAH1,4.32,chembl,ONNCTSYEIOXVCV-UHFFFAOYSA-N
49854,C11H18N4O4,tertiary,CN1CC([N+](=O)[O-])=C2N(CC3COCO3)CCN2C1,1,base,pKAH1,4.12,chembl,PQWNLQNEMZWMHP-UHFFFAOYSA-N
85183,C13H18N4O,tertiary,CC12CN(CC#N)CC(C)(CN(CC#N)C1)C2=O,11,base,pKAH1,4.82,chembl,ZOYVCEXSZKWFFE-UHFFFAOYSA-N
25104,C12H15NO2,tertiary,O=C(CN1CCOCC1)c1ccccc1,3,base,pKAH1,4.81,chembl,PXOGBEAGHDNDDM-UHFFFAOYSA-N
62019,C8H12N2O2,tertiary,O=C1CN2CCCC[C@@H]2C(=O)N1,3,base,pKAH1,4.47,chembl,FAHMPBBZKRHWJJ-ZCFIWIBFSA-N
107812,C10H11N3O2,secondary,O=C1CNCC(=O)N1Cc1ccccn1,14,base,pKAH1,4.51,chembl,JQRCBSWUPFRODX-UHFFFAOYSA-N
109988,C9H10N2O3,secondary,O=C1CNCC(=O)N1Cc1ccco1,3,base,pKAH1,4.28,chembl,OTMVNXOSDOGGHY-UHFFFAOYSA-N
64488,C10H19NO6,tertiary,O=C(CN1CCOCC1)[C@@H](O)[C@H](O)[C@H](O)CO,3,base,pKAH1,4.42,chembl,JPANQHVKLYKLEB-OPRDCNLKSA-N
53664,C13H15N3O,tertiary,N#CCN1CCN(c2cccccc2=O)CC1,3,base,pKAH1,3.94,chembl,OISWXILJSGCCIG-UHFFFAOYSA-N
88494,C4H8N2O2,secondary,CC1NCC(=O)N1O,6,base,pKAH1,4.49,chembl,KLVPTGDBRLOERX-UHFFFAOYSA-N
2498,C13H14N2O2,secondary,COC(=O)[C@@H]1C[C@@H](C#N)[C@H](c2ccccc2)N1,16,base,pKAH1,4.24,chembl,XJYOFMULFRBUDM-SRVKXCTJSA-N
41635,C12H19NO3,tertiary,CC1(C)OCC2(CO1)C(=O)C1CCN2CC1,13,base,pKAH1,4.78,chembl,MMWLAMGMZATNGN-UHFFFAOYSA-N
3566,C12H14N4O2,tertiary,N#Cc1ccc(NC(=O)CN2CCOCC2)cn1,10,base,pKAH1,4.79,chembl,PWOYDDGGFCOZOG-UHFFFAOYSA-N
91602,C8H13N5O,secondary,CC1CN(C)C2=NC(N)=NC(=O)C2N1,13,base,pKAH1,4.54,chembl,LGFJIGWZXJOMTQ-UHFFFAOYSA-N
68185,C13H22N4O4,tertiary,CCCN1CC([N+](=O)[O-])=C2N(CC3COCO3)CCN2C1,3,base,pKAH1,4.67,chembl,RIMUZZPFGSPKIL-UHFFFAOYSA-N
62852,C12H11NO3,tertiary,CN1COc2ccc3ccc(=O)oc3c2C1,1,base,pKAH1,4.53,chembl,QIAXYRFZXNHSJH-UHFFFAOYSA-N
49356,C10H19NO5,tertiary,COC(=O)C(C)N1C[C@@H](CO)O[C@H](OC)C1,6,base,pKAH1,4.57,chembl,RASLFQNSAZAQOM-NPPUSCPJSA-N
99104,C4H8N2O3,secondary,O=C1C(CO)NCN1O,7,base,pKAH1,4.58,chembl,SNPBDHTVOXAUPF-UHFFFAOYSA-N
16048,C12H14N4O2,tertiary,N#Cc1ccc(NC(=O)CN2CCOCC2)nc1,10,base,pKAH1,4.73,chembl,IXSSBPCPSHYLRE-UHFFFAOYSA-N
47940,C10H14N4O4,secondary,O=C1CNCC(=O)N1CCN1C(=O)CNCC1=O,3,base,pKAH1,4.59,chembl,YPSRHIPNYBHZGK-UHFFFAOYSA-N
33018,C10H16N2O2,secondary,O=C1CNCC(=O)N1C1CCCCC1,3,base,pKAH1,4.28,chembl,ZDBZEKGVSDVFBK-UHFFFAOYSA-N
119061,C11H16N4,secondary,CC1=CC(c2ccccc2)NC(NN)N1,12,base,pKAH1,4.56,chembl,YRZUEJBQVDVCOU-UHFFFAOYSA-N
38555,C13H21N3O4,tertiary,CN1CC(=O)N(CC(=O)NO)C(=O)C12CCCCCC2,9,base,pKAH1,4.53,chembl,GJLBVSCJSHCGIY-UHFFFAOYSA-N
14561,C13H12N4O3,tertiary,CN(CC#N)Cc1cc([N+](=O)[O-])c2cccnc2c1O,16,base,pKAH1,4.76,chembl,DYZSFVHDXAZQPT-UHFFFAOYSA-N
78847,C11H11N3O3,secondary,N#CC1(NCc2cc([N+](=O)[O-])ccc2O)CC1,3,base,pKAH1,4.62,chembl,NOKAWLBDOFKKPS-UHFFFAOYSA-N
28398,C13H22N4O4,tertiary,CC(C)N1CC([N+](=O)[O-])=C2N(CC3COCO3)CCN2C1,3,base,pKAH1,4.63,chembl,DVKWXNOHDQSXGP-UHFFFAOYSA-N
51566,C13H14N2O2,tertiary,N#CC(c1ccc2c(c1)OCO2)N1CCCC1,12,base,pKAH1,4.73,chembl,AXNHBGUUQZQXLN-UHFFFAOYSA-N
99368,C8H14N2O3,secondary,CC(C)CNC(=O)[C@H]1N[C@H]1C(=O)O,8,base,pKAH1,4.53,chembl,KTULZKFCKGRPNH-NTSWFWBYSA-N
66196,C9H19NO3,tertiary,CC(C)(C)OOCN1CCOCC1,7,base,pKAH1,3.9,chembl,RKJIPPZMAIBNPC-UHFFFAOYSA-N
86201,C13H13N3O2,tertiary,O=C(O)c1[nH]nc2c1CN(Cc1ccccc1)C2,5,base,pKAH1,5.37,chembl,HBFGMHYTWYYGHC-UHFFFAOYSA-N
18930,C12H14N2O,secondary,O=C1NCNC12CCCc1ccccc12,4,base,pKAH1,5.23,chembl,FPMDCVXDJSKWCR-UHFFFAOYSA-N
4922,C11H13N3,tertiary,CN1[C@@H](C#N)CC[C@H]1c1cccnc1,1,base,pKAH1,4.9,chembl,DUKKSGGNSSFORH-MNOVXSKESA-N
115692,C12H18N2O3,tertiary,Cc1cc(=O)c(O)c(CN2CCOCC2)n1C,9,base,pKAH1,5.68,chembl,ZQRJSYFMQXRCIM-UHFFFAOYSA-N
81749,C11H16N4O3,tertiary,O=[N+]([O-])c1nccn1CC(O)CN1C2CCCC21,4,base,pKAH1,5.78,chembl,OIDNCWWLMVXHET-UHFFFAOYSA-N
78258,C12H17N3O5,tertiary,C[C@@H]1[C@H](C)N1CC(O)CNC(=O)c1ccc([N+](=O)[O-])o1,4,base,pKAH1,5.66,chembl,IADIVOKJOXWQEH-FIMLBJSESA-N
37514,C11H13N3,tertiary,CN1[C@H](C#N)CC[C@H]1c1cccnc1,1,base,pKAH1,4.9,chembl,DUKKSGGNSSFORH-QWRGUYRKSA-N
50288,C13H19N3O2,tertiary,CC(=O)NC(C(=O)NCc1ccccc1)N(C)C,15,base,pKAH1,5.19,chembl,ZCZMNZXYYPTYJM-UHFFFAOYSA-N
106376,C7H10N2O2,tertiary,O=C1CN2CCC[C@H]2C(=O)N1,3,base,pKAH1,5.54,chembl,XVAFYXHQHVPMHE-YFKPBYRVSA-N
22376,C5H9N3O2,secondary,C[C@H]1NCC(=O)NNC1=O,2,base,pKAH1,5.21,chembl,IDXYLWSVKOVBBS-GSVOUGTGSA-N
87727,C9H14N4O3,tertiary,CC1CN1CC(O)Cn1ccnc1[N+](=O)[O-],11,base,pKAH1,5.67,chembl,AFLZZBWHQVDQKY-UHFFFAOYSA-N
53420,C9H15NO4,secondary,CC(C)(C)OC(=O)[C@@H]1C[C@@H](C(=O)O)N1,13,base,pKAH1,5.55,chembl,JBMNFFALJSFZHH-WDSKDSINSA-N
765,C9H14N4O3,tertiary,C[C@@H]([C@H](O)Cn1ccnc1[N+](=O)[O-])N1CC1,8,base,pKAH1,5.79,chembl,MBFSEKWTSIQCCD-JGVFFNPUSA-N
88057,C11H14N2O,secondary,CC1(C)NC(=O)C(c2ccccc2)N1,13,base,pKAH1,5.18,chembl,NUHBQAZWRXRCNJ-UHFFFAOYSA-N
34141,C6H11N3O2,secondary,C[C@H]1N[C@H](C)C(=O)NNC1=O,2,base,pKAH1,5.31,chembl,PCDOLDGJAUQLBO-QWWZWVQMSA-N
126769,C4H6N2O2,primary,NCc1cc(O)no1,0,base,pKAH1,5.03,chembl,ZJQHPWUVQPJPQT-UHFFFAOYSA-N
64428,C13H17N5O2,tertiary,CC1CCN(Cn2nc(-c3cnccn3)oc2=O)CC1,14,base,pKAH1,5.5,chembl,AHPPSKLXWJVSSJ-UHFFFAOYSA-N
87166,C10H11N7O3,secondary,Cc1ncc([N+](=O)[O-])n1CCNCc1nonc1C#N,11,base,pKAH1,5.75,chembl,LFQVUNRXTOIVRM-UHFFFAOYSA-N
75277,C12H13N3O2,secondary,COC(=O)C1Cc2c([nH]c3ncccc23)CN1,10,base,pKAH1,5.21,chembl,CQWIRSGYZOTBEV-UHFFFAOYSA-N
49456,C9H14N4,tertiary,C#CCN(C)Cc1cn(CC)nn1,3,base,pKAH1,5.75,chembl,BTASFENPOIDFQG-UHFFFAOYSA-N
28333,C11H14N2O4,tertiary,O=C(O)CN(CC(=O)NO)Cc1ccccc1,4,base,pKAH1,5.65,chembl,XWJZAHYUVRXSCU-UHFFFAOYSA-N
45269,C13H14N2O2,secondary,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,16,base,pKAH1,5.22,chembl,QZGCHMZBGHVZFB-NSHDSACASA-N
80501,C13H14N2O2,tertiary,O=C1NC(=O)[C@@H](c2ccccc2)N2CCC[C@@H]12,12,base,pKAH1,5.35,chembl,HBBMDAQPPJMYRZ-WDEREUQCSA-N
35879,C11H12N2O2,tertiary,CN(C)CN1C(=O)C(=O)c2ccccc21,1,base,pKAH1,5.31,chembl,QQWDVUJPHMCDTH-UHFFFAOYSA-N
