ChEMBL ID,Name,Molecular Weight,CX Acidic pKa,CX Basic pKa,Aromatic Rings,Molecular Species,Molecular Formula,Smiles,Inchi Key,Amine Class
CHEMBL2332148,,210.32,,8.68,0.0,BASE,C12H22N2O,CCC(=O)N[C@H]1CCCN2CCCC[C@@H]12,LHQNLHGTLICUHG-QWRGUYRKSA-N,tertiary
CHEMBL4574940,,208.27,,7.25,1.0,NEUTRAL,C9H16N6,Cc1nc(N)nc(N2CCN(C)CC2)n1,KSNXZLQZGRKMPR-UHFFFAOYSA-N,tertiary
CHEMBL3329525,,154.21,,7.82,0.0,NEUTRAL,C8H14N2O,O=C(C1CC1)N1CCNCC1,KIALFUYSJAAJSU-UHFFFAOYSA-N,secondary
CHEMBL416557,DIOXIFEDRINE,197.23,9.76,8.94,1.0,BASE,C10H15NO3,CNC(C)C(O)c1ccc(O)c(O)c1,DDBFLXGTCAVAFD-UHFFFAOYSA-N,secondary
CHEMBL39067,,166.22,,8.79,0.0,BASE,C9H14N2O,CNCC#CCN1CCCC1=O,IJXXKPQOXOZBGY-UHFFFAOYSA-N,secondary
CHEMBL3775493,,204.23,10.07,7.09,2.0,NEUTRAL,C10H12N4O,CN(C)Cc1nccc2c(=O)[nH]cnc12,JIRDZHUDZBCJHF-UHFFFAOYSA-N,tertiary
CHEMBL242438,,176.22,,9.58,1.0,BASE,C9H12N4,c1cnnc(N2CC3CC2CN3)c1,LINMRUIKENUABZ-UHFFFAOYSA-N,secondary
CHEMBL395184,,210.32,,8.42,0.0,NEUTRAL,C12H22N2O,CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@@H]21,MOJFIJCTQBCNKC-UTLUCORTSA-N,primary
CHEMBL2181333,,159.28,,10.73,0.0,BASE,C8H21N3,C[C@H](N)CCNCCCCN,PZSFTBARUSGJTA-QMMMGPOBSA-N,primary
CHEMBL4779175,,197.24,12.61,6.74,1.0,NEUTRAL,C9H15N3O2,OC[C@H]1CN(Cc2ncc[nH]2)C[C@@H]1O,DOYQWOHVNFYPHV-SFYZADRCSA-N,tertiary
CHEMBL4166933,,197.24,11.7,5.7,0.0,NEUTRAL,C9H15N3O2,CC1=NNC(=O)C(N2CCOCC2)C1,WOUFQVMOTVQGJH-UHFFFAOYSA-N,tertiary
CHEMBL3769919,,179.26,,9.74,1.0,BASE,C11H17NO,C[C@@H](CNCCO)c1ccccc1,OGVXHFNUQCWBPC-JTQLQIEISA-N,secondary
CHEMBL4227745,,174.25,,9.6,1.0,BASE,C11H14N2,c1ccc2c(c1)NC1CNCCC21,DWPAWEOVWCYOAE-UHFFFAOYSA-N,secondary
CHEMBL5078792,,165.19,9.36,8.22,1.0,NEUTRAL,C9H11NO2,Oc1ccc2c(c1)C(O)CNC2,LJRLBPHJWAJIOD-UHFFFAOYSA-N,secondary
CHEMBL406973,,133.15,13.32,9.36,0.0,BASE,C5H11NO3,OC[C@@H]1NC[C@H](O)[C@H]1O,OQEBIHBLFRADNM-YUPRTTJUSA-N,secondary
CHEMBL5183010,,206.29,,8.27,1.0,NEUTRAL,C12H18N2O,CN(C)C(=O)[C@H](N)CCc1ccccc1,QEESVUFHIWOBTA-LLVKDONJSA-N,primary
CHEMBL4798545,,149.24,,11.64,0.0,BASE,C10H15N,C1=C[C@H]2CC[C@@H]1[C@H]1CNC[C@H]12,VWYRKEFCVJKJCO-YNFQOJQRSA-N,secondary
CHEMBL5415399,,205.3,,8.9,1.0,BASE,C12H19N3,CN1CCC(Nc2ccccc2N)CC1,ZXONFSGVQZHXDB-UHFFFAOYSA-N,tertiary
CHEMBL3752009,,183.34,,10.45,0.0,BASE,C12H25N,NC1CCCCCCCCCCC1,HBGGBCVEFUPUNY-UHFFFAOYSA-N,primary
CHEMBL116538,,123.16,13.69,8.99,1.0,BASE,C6H9N3,C=C(CN)c1c[nH]cn1,LMJOXTNJYQOGSC-UHFFFAOYSA-N,primary
CHEMBL2315221,,128.13,9.79,7.84,1.0,NEUTRAL,C4H8N4O,NCc1cn(O)nc1N,VUZIJLJUUOFFDP-UHFFFAOYSA-N,primary
CHEMBL1618836,,193.29,,9.28,1.0,BASE,C12H19NO,Cc1ccc(C(C)C)c(OCCN)c1,VUXYWKZEEIITOF-UHFFFAOYSA-N,primary
CHEMBL331398,,190.29,,9.4,1.0,BASE,C12H18N2,CCCNC1CCCc2ccncc21,SNISSPKTJCFUAM-UHFFFAOYSA-N,secondary
CHEMBL445533,,173.26,,8.64,1.0,BASE,C12H15N,CN1CCC=C(c2ccccc2)C1,QKROHGALCSHSER-UHFFFAOYSA-N,tertiary
CHEMBL3222027,,208.31,,9.28,1.0,BASE,C12H20N2O,CC(O)CNCCNCc1ccccc1,GZVDWDBZOPGSRQ-UHFFFAOYSA-N,secondary
CHEMBL1269055,,216.24,12.49,8.34,2.0,NEUTRAL,C11H12N4O,NCc1[nH]c(-c2ccncc2)cc1C(N)=O,SMMSOYXYIODFKL-UHFFFAOYSA-N,primary
CHEMBL400465,,163.26,,9.85,1.0,BASE,C11H17N,CCC(N)(CC)c1ccccc1,JOGPHRRMASCZSC-UHFFFAOYSA-N,primary
CHEMBL3962179,,177.25,,8.95,1.0,BASE,C11H15NO,O[C@@H]1CCN(Cc2ccccc2)C1,YQMXOIAIYXXXEE-LLVKDONJSA-N,tertiary
CHEMBL170486,,161.2,,5.99,1.0,NEUTRAL,C10H11NO,COc1ccc2c(c1)C1NC1C2,FONOZADNCLFSBX-UHFFFAOYSA-N,secondary
CHEMBL3946277,,188.27,,9.02,1.0,BASE,C12H16N2,c1ccc2c(c1)CC[C@@H]1CNCCN21,CHIINPDGHUONJZ-LLVKDONJSA-N,secondary
CHEMBL223665,,213.28,,8.44,0.0,NEUTRAL,C10H19N3O2,CC[C@H](N)C(=O)N1CCC[C@H](C(N)=O)C1,XPGZBTJROJXLGK-YUMQZZPRSA-N,primary
CHEMBL5218868,,147.18,,9.11,2.0,BASE,C8H9N3,NCc1ccc2nccn2c1,YGXHRFPVDFQLNF-UHFFFAOYSA-N,primary
CHEMBL1190168,,173.21,,4.86,0.0,NEUTRAL,C8H15NO3,CCOC(=O)CN1CCOCC1,SITMDWHJQROIPF-UHFFFAOYSA-N,tertiary
CHEMBL5406172,,199.26,13.62,9.33,2.0,BASE,C12H13N3,C1=C(c2n[nH]c3ccccc23)CNCC1,UQGCMOHWSAZKFN-UHFFFAOYSA-N,secondary
CHEMBL5422496,,203.29,13.82,12.78,0.0,BASE,C9H21N3O2,CC(=N)NCCCC[C@H](N)C(O)CO,SWFGZPKOOOLHNM-IENPIDJESA-N,primary
CHEMBL1907041,,117.15,,9.29,0.0,BASE,C5H11NO2,CCOC(=O)CCN,GSQBIOQCECCMOQ-UHFFFAOYSA-N,primary
CHEMBL3277906,,223.27,,8.19,1.0,NEUTRAL,C12H17NO3,COc1cccc(OC[C@H]2CNCCO2)c1,CAIBSLGEKNOIJR-GFCCVEGCSA-N,secondary
CHEMBL2229816,2-INDOLYLMETHANAMINE,146.19,,8.78,2.0,BASE,C9H10N2,NCc1cc2ccccc2[nH]1,RNAODKZCUVVPEN-UHFFFAOYSA-N,primary
CHEMBL2448887,,123.2,,9.36,0.0,BASE,C8H13N,CC1=CCN2CCC[C@@H]12,ADGSVAHCPADPBZ-QMMMGPOBSA-N,tertiary
CHEMBL21360,,149.24,,10.04,1.0,BASE,C10H15N,CCC(N)Cc1ccccc1,IOLQWLOHKZENDW-UHFFFAOYSA-N,primary
CHEMBL2441750,,158.2,,8.16,0.0,NEUTRAL,C7H14N2O2,CN(C)C[C@H]1CN(C)C(=O)O1,SXGAHCLWFLASQB-LURJTMIESA-N,tertiary
CHEMBL4777431,,220.27,,7.61,1.0,NEUTRAL,C12H16N2O2,O=C(c1ccco1)N1CCN2CCC1CC2,QAQZGYOOSFWULK-UHFFFAOYSA-N,tertiary
CHEMBL4743212,,208.26,,7.83,1.0,NEUTRAL,C11H16N2O2,OC[C@H]1CN(Cc2cccnc2)C[C@@H]1O,MIOBNHCBSDUNGW-MNOVXSKESA-N,tertiary
CHEMBL4549462,,295.26,,3.11,2.0,NEUTRAL,C10H13N7O4,COC(=O)c1ncn(CNCn2cnc(C(=O)OC)n2)n1,UXXVOYXYFKBCKS-UHFFFAOYSA-N,secondary
CHEMBL3249372,,257.25,12.93,8.88,1.0,BASE,C8H15N7O3,N/N=C(/N)c1ncn([C@@H]2O[C@H](CO)[C@@H](N)[C@H]2O)n1,XHJQHJXHBGLBOP-AFCXAGJDSA-N,primary
CHEMBL3247593,,193.2,12.6,8.8,0.0,BASE,C7H15NO5,NC[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,CGHLMFMBMIQDFZ-NYMZXIIRSA-N,primary
CHEMBL3247606,,279.33,12.21,10.2,0.0,BASE,C12H25NO6,NCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,GWNKFVGAEZHVTM-RMPHRYRLSA-N,primary
CHEMBL3246881,,223.27,,9.93,1.0,BASE,C12H17NO3,CCOc1cc2c(cc1CC(C)N)OCO2,OHOFHHFTTSOJCK-UHFFFAOYSA-N,primary
CHEMBL598451,,208.26,,7.92,1.0,NEUTRAL,C11H16N2O2,CN(CCO)CCC(=O)c1ccccn1,SZFNXZDPSHROIB-UHFFFAOYSA-N,tertiary
CHEMBL3603945,,222.29,,8.34,1.0,NEUTRAL,C12H18N2O2,COc1ccncc1OC[C@@H]1CCCN1C,IDCKFOFDGKCPQY-JTQLQIEISA-N,tertiary
CHEMBL3603946,,208.26,,10.42,1.0,BASE,C11H16N2O2,COc1ccncc1OC[C@@H]1CCCN1,LNSWECRSSXELIU-VIFPVBQESA-N,secondary
CHEMBL3221618,,235.29,,10.09,1.0,BASE,C12H17N3O2,Nc1cccc(C(=O)O[C@H]2C[C@H](N)C[C@@H]2N)c1,FZTCJSSHJSFHSV-VWYCJHECSA-N,primary
CHEMBL4568923,,235.29,13.6,9.21,1.0,BASE,C11H17N5O,O=C(NNCN1CCNCC1)c1ccncc1,ZDQTZOQHSMZUBH-UHFFFAOYSA-N,secondary
CHEMBL4470484,,164.25,,9.41,1.0,BASE,C10H16N2,CN(CCN)Cc1ccccc1,LIUGRXFEJOSPIA-UHFFFAOYSA-N,primary
CHEMBL4066225,,153.27,,10.44,0.0,BASE,C10H19N,CC(N)[C@@H]1C[C@H]2CC[C@]1(C)C2,LMMZVXZSHUWQPH-FWKUWYBHSA-N,primary
CHEMBL318337,,188.27,,8.75,1.0,BASE,C12H16N2,c1cc(CN2C3CCC2CC3)ccn1,SIZDIMUULYVZIP-UHFFFAOYSA-N,tertiary
CHEMBL57286,ALLYLAMINE,57.1,,9.66,0.0,BASE,C3H7N,C=CCN,VVJKKWFAADXIJK-UHFFFAOYSA-N,primary
CHEMBL1823693,,239.27,9.29,6.97,1.0,NEUTRAL,C12H17NO4,CC(C)OC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,QALMBBJHULTYQU-VIFPVBQESA-N,primary
CHEMBL276764,,184.28,,8.43,0.0,NEUTRAL,C10H20N2O,CCCCC(N)C(=O)N1CCCC1,IZWPGYBNYFIMCH-UHFFFAOYSA-N,primary
CHEMBL4745542,,113.16,,6.21,0.0,NEUTRAL,C6H11NO,CN1CCCC(=O)C1,SIKTVUHUQZNEPY-UHFFFAOYSA-N,tertiary
CHEMBL3344202,,177.2,12.66,8.55,0.0,BASE,C7H15NO4,OCCC1(O)[C@H](O)CNC[C@@H]1O,IUTXEDRZJXTZSN-MEKDEQNOSA-N,secondary
CHEMBL3330642,,174.25,,9.74,2.0,BASE,C11H14N2,Cc1ccc2c(CCN)c[nH]c2c1,GEVXFHYJXGYXJP-UHFFFAOYSA-N,primary
CHEMBL176843,,129.2,,10.01,0.0,BASE,C7H15NO,CC(=O)CCCCCN,JHYBLGGRROSXDF-UHFFFAOYSA-N,primary
CHEMBL218733,,136.2,,9.58,1.0,BASE,C8H12N2,NCc1ccc(CN)cc1,ISKQADXMHQSTHK-UHFFFAOYSA-N,primary
CHEMBL2011611,,185.27,,9.01,0.0,BASE,C10H19NO2,CCCCN1CC=C[C@H](O)[C@@H]1CO,NHPSLFSVHQQWQU-UWVGGRQHSA-N,tertiary
CHEMBL4217057,,264.33,,12.16,1.0,BASE,C12H20N6O,N=C(N)NCCC[C@H](N)C(=O)NCc1cccnc1,QOPXNZJKBWLKHN-JTQLQIEISA-N,primary
CHEMBL4211916,,264.33,,12.16,1.0,BASE,C12H20N6O,N=C(N)NCCC[C@H](N)C(=O)NCc1ccncc1,RLUYUBJTIFGXEN-JTQLQIEISA-N,primary
CHEMBL330994,,231.3,,7.35,2.0,NEUTRAL,C12H17N5,Cc1cnc(N2CCN(C)CC2)c2nccn12,YPGUQGOZRFFFJW-UHFFFAOYSA-N,tertiary
