ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction,MLb_Prediction
625,C9H13NO,primary,C[C@H](N)[C@H](O)c1ccccc1,2,base,pKAH1,9.37,chembl,DLNKOYKMWOXYQA-CBAPKCEASA-N,8.745954840091914,8.776297334294874
657,C12H17NO2,tertiary,CN(C)CC1CCc2c1ccc(O)c2O,1,base,pKAH1,9.14,chembl,AYTFWINRWVAOKT-UHFFFAOYSA-N,8.708477046157851,8.79707744074049
724,C12H23NO9,secondary,OC[C@H]1NC[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,3,base,pKAH1,7.99,chembl,CQLSQWAVFSEMIE-ZDLXXCOVSA-N,8.001929214596647,8.373918261785766
738,C9H19NO4,tertiary,CCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,3,base,pKAH1,8.35,chembl,DUKKBXHYYSHSAI-BZNPZCIMSA-N,8.447036090325573,8.61852344116708
765,C9H14N4O3,tertiary,C[C@@H]([C@H](O)Cn1ccnc1[N+](=O)[O-])N1CC1,8,base,pKAH1,5.79,chembl,MBFSEKWTSIQCCD-JGVFFNPUSA-N,7.702401807454019,8.541680476542965
774,C7H15NO5,secondary,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,3,base,pKAH1,7.6,chembl,CLVUFWXGNIFGNC-OVHBTUCOSA-N,7.89599815921976,8.393004954585008
778,C10H18N4O2,secondary,CCCc1cn(C[C@H]2NC[C@@H](O)[C@H]2O)nn1,8,base,pKAH1,9.34,chembl,NCDYRVHMNRRUOD-BBBLOLIVSA-N,8.11456664289222,8.641989858787793
780,C6H13NO3,secondary,OC[C@H]1CNC[C@H](O)[C@@H]1O,4,base,pKAH1,8.8,chembl,QPYJXFZUIJOGNX-NGJCXOISSA-N,8.555552448583128,8.630234161638414
781,C13H19N7O4,primary,NCCC(=O)NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0,base,pKAH1,9.12,chembl,MKAUNSCZSZKQKW-ZRFIDHNTSA-N,7.990714784966151,8.518813591631151
784,C11H15NO4,secondary,OC[C@@H]1N[C@@H](c2ccc(O)cc2)[C@H](O)[C@H]1O,3,base,pKAH1,8.41,chembl,BRPXIQPSCKPBLH-NAKRPEOUSA-N,8.017308512385442,8.245358571763758
789,C11H16N2O,secondary,Oc1ccccc1CN1CCNCC1,8,base,pKAH1,9.49,chembl,GQRQDGSWNXOCNK-UHFFFAOYSA-N,9.083385589631604,8.916607940784141
810,C12H18N2O5,primary,CCOC(=O)/C=C/OC(=O)[C@@H]1CCCN1C(=O)CN,18,base,pKAH1,8.13,chembl,MXNXCDMAPBMFBL-IWGCBNPKSA-N,9.073026664449827,9.256760133731003
865,C7H10N4O2,primary,Cn1ncc2c1N(O)C(=O)[C@@H](N)C2,11,base,pKAH1,7.15,chembl,OETBHDOEBPITJA-YFKPBYRVSA-N,7.868197590909676,8.646721859815676
