ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,predicted_pka_value,linear_predicted_pka
10269,C13H21NO,tertiary,CCN(CC)CCOc1ccc(C)cc1,2,base,pKAH1,9.34,chembl,FKNYTRBBGNUNOX-UHFFFAOYSA-N,8.878189748219656,8.858263082303152
73973,C13H12N2O2,secondary,O=[N+]([O-])c1cccc2c3c(ccc12)CCNC3,15,base,pKAH1,9.25,chembl,AQGRGHFKPGGMDL-UHFFFAOYSA-N,8.847417946733044,8.822797044215626
95688,C11H16N4O3,tertiary,O=c1[nH]cnc2c(CN(CCO)CCO)c[nH]c12,8,base,pKAH1,7.31,chembl,ZBXQRJZTSZXXLI-UHFFFAOYSA-N,8.124240767409862,7.98929922651185
4984,C6H13NO4,secondary,OC[C@H]1NC(O)C[C@@H](O)[C@@H]1O,3,base,pKAH1,7.65,chembl,BTEHIRWQUADKFP-DUVQVXGLSA-N,8.481985871316839,8.401618326071574
15401,C12H12N2O3,primary,NCCNC(=O)c1cc2ccccc2oc1=O,0,base,pKAH1,9.16,chembl,ZZZHRZHNTZJEMF-UHFFFAOYSA-N,9.624062757234014,9.71791897725195
9333,C9H15NO,tertiary,CCC(=O)C1=CCN(C)CC1,7,base,pKAH1,7.8,chembl,MZARYCDFEZUNDO-UHFFFAOYSA-N,8.503918039219618,8.426896244964961
21678,C12H15N5O3,secondary,Nc1nc(O)c2c(CNC3C=C[C@H](O)[C@@H]3O)c[nH]c2n1,8,base,pKAH1,7.55,chembl,WYROLENTHWJFLR-RSPBLZPZSA-N,8.320301781027085,8.215269336823802
57620,C11H15NO2,tertiary,CC1c2cc(O)c(O)cc2CCN1C,12,base,pKAH1,7.66,chembl,RKMGOUZXGHZLBJ-UHFFFAOYSA-N,8.734263272328375,8.692380630540155
40034,C10H19N3O2,primary,COC(=O)[C@@H](N)[C@@H]1CC[C@@H](/N=C(/C)N)C1,10,base,pKAH1,11.57,chembl,IVWOENCQSRQYBB-HLTSFMKQSA-N,9.767635768001366,9.88339404280607
16389,C12H20N2O,secondary,C[C@@H]1C[C@H]1C(=O)N1CC2CNCC(C2)C1,10,base,pKAH1,10.26,chembl,KPHRNXIFUJLFNL-AGVGLQIMSA-N,9.945337263571314,10.088203891616384
39260,C12H18N2O,primary,CN(C)C(=O)C[C@H](N)Cc1ccccc1,7,base,pKAH1,8.94,chembl,FXCUOLRUEHYGAY-LLVKDONJSA-N,9.73795286132321,9.849183010369314
16877,C9H11N3O3,primary,NCCNC(=O)c1ccc([N+](=O)[O-])cc1,0,base,pKAH1,9.16,chembl,KWWPRACPGGPLMF-UHFFFAOYSA-N,8.564067773297943,8.496221817622919
12747,C6H11N3O,primary,N[C@H](CO)Cc1c[nH]cn1,0,base,pKAH1,9.22,chembl,ZQISRDCJNBUVMM-YFKPBYRVSA-N,9.628257623840305,9.72275377052512
75869,C12H17NO2,secondary,COc1ccccc1OC[C@@H]1CCCN1,14,base,pKAH1,10.47,chembl,RKGKCHBDKRVJAV-JTQLQIEISA-N,9.718920650878488,9.827247437282507
83024,C9H15N5O,tertiary,CN1CCN(c2cc(O)nc(N)n2)CC1,11,base,pKAH1,7.28,chembl,QLCJOXZPNHPFTJ-UHFFFAOYSA-N,8.606282852111413,8.544876804355424
23501,C12H20N2,primary,Cc1cc(N(C)C)ccc1CC(C)N,13,base,pKAH1,10.1,chembl,HFQMYSHATTXRTC-UHFFFAOYSA-N,9.991224321773513,10.141091017988616
24959,C10H14N2O,tertiary,Cc1cc(/C=C2/CCN(C)C2)on1,8,base,pKAH1,7.59,chembl,SSZBWZDUZSIQIE-TWGQIWQCSA-N,8.457753554835367,8.373689371062076
68143,C13H18N2,tertiary,Cc1cc2ccccc2n1CCN(C)C,12,base,pKAH1,9.23,chembl,CMJUSCMKELZWJN-UHFFFAOYSA-N,8.67747668879175,8.626931256851499
59900,C11H16N2,tertiary,Cc1cncc(C2CCCN2C)c1,10,base,pKAH1,8.58,chembl,WPPLPODBERCBRQ-UHFFFAOYSA-N,8.863095127021209,8.840865777482575
72790,C11H19N3O2,secondary,CC(=O)N/N=C1\CC2(CCNCC2)OC1C,10,base,pKAH1,10.0,chembl,LASQBHQOHAFPRA-GXDHUFHOSA-N,9.566443426662145,9.65150982101426
3454,C11H14N2O,primary,COc1cccc2c(CCN)c[nH]c12,10,base,pKAH1,9.76,chembl,ZUJIGHUQQNOCAM-UHFFFAOYSA-N,9.865930215462756,9.996683302746689
42539,C11H16N4O4,secondary,O=c1[nH]cnc2c(CNCC(O)C(O)CO)c[nH]c12,8,base,pKAH1,7.73,chembl,NSEGFCCGYNYXFR-UHFFFAOYSA-N,8.185245090915354,8.059609756166436
111161,C9H14N2O2,secondary,CCCN1C(=O)[C@H]2CNC[C@H]2C1=O,8,base,pKAH1,10.12,chembl,QNMANEXBKGGCGE-KNVOCYPGSA-N,8.652504512754227,8.59814957675193
34220,C7H13N3,primary,CCn1cnc(CCN)c1,8,base,pKAH1,9.57,chembl,LIXGKSRWGHVUHT-UHFFFAOYSA-N,9.735567608466459,9.84643388732227
56316,C8H19N7O3,primary,NCCNC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-],0,base,pKAH1,9.2,chembl,CDCIRTDHJSJFDZ-LURJTMIESA-N,8.549429368097654,8.47935032452558
68427,C5H11NO3,secondary,OC[C@]1(O)CNC[C@H]1O,5,base,pKAH1,9.49,chembl,VWMSLTGKBPRHSC-RFZPGFLSSA-N,8.635865166831675,8.57897189953672
106706,C10H14N4,tertiary,C=Cn1ncc(C2=CCCN(C)C2)n1,10,base,pKAH1,7.6,chembl,GUEWFPSNCOYHDG-UHFFFAOYSA-N,8.791265857038592,8.758078956369388
58250,C13H13N,primary,NC(c1ccccc1)c1ccccc1,0,base,pKAH1,8.85,chembl,MGHPNCMVUAKAIE-UHFFFAOYSA-N,9.154965884372738,9.177261402593043
100066,C11H16N2O,primary,CNC(=O)C[C@H](N)Cc1ccccc1,6,base,pKAH1,8.94,chembl,OAPIOURIBXMELC-SNVBAGLBSA-N,8.884313807218865,8.865321366161206
23211,C9H9N3O,primary,NCc1cc(-c2cccnc2)no1,0,base,pKAH1,7.51,chembl,HQTBIZDUNOAXTD-UHFFFAOYSA-N,8.669250719202926,8.61745041606059
12013,C10H13N,secondary,c1ccc2c(c1)CCNCC2,8,base,pKAH1,10.09,chembl,MWVMYAWMFTVYED-UHFFFAOYSA-N,9.393997529465027,9.452757311815494
37749,C9H20N2O3,tertiary,CN(C)C(=O)OCCC(CO)N(C)C,11,base,pKAH1,8.9,chembl,ORSVTYNHTMXGMV-UHFFFAOYSA-N,8.457322083623147,8.373192078940491
19046,C11H16N2O2,tertiary,OC[C@H]1CN(Cc2ccncc2)C[C@@H]1O,4,base,pKAH1,7.93,chembl,GLPFVPJRKRIPMG-MNOVXSKESA-N,8.65707200405053,8.603413838590795
102309,C11H17N,secondary,C1C2CC3CC1CC(C2)C31CN1,11,base,pKAH1,8.24,chembl,HAOJJDNCFKBOOH-UHFFFAOYSA-N,10.35503840253146,10.560404916479513
56549,C12H30N4,primary,CC(CN)CNCCCCNCC(C)CN,10,base,pKAH1,10.92,chembl,PMVOXPLLFQZKIE-UHFFFAOYSA-N,10.48823119748275,10.713916264873644
84468,C12H15N,secondary,C=C=C(CNC)Cc1ccccc1,4,base,pKAH1,9.12,chembl,ICYCCDCKMJABTK-UHFFFAOYSA-N,9.238662924224053,9.27372642120664
85434,C8H17NO4,tertiary,CN1[C@H](CO)[C@H](O)C[C@H](O)[C@H]1CO,1,base,pKAH1,8.21,chembl,CDGKBGOAPNEEAH-XUTVFYLZSA-N,8.5183256186348,8.443501699816546
6587,C11H16N4O4,secondary,O=c1[nH]cnc2c(CNC(CO)(CO)CO)c[nH]c12,8,base,pKAH1,7.35,chembl,UJESFEKRDYMZED-UHFFFAOYSA-N,8.091986311837594,7.952124355540576
657,C12H17NO2,tertiary,CN(C)CC1CCc2c1ccc(O)c2O,1,base,pKAH1,9.14,chembl,AYTFWINRWVAOKT-UHFFFAOYSA-N,8.79707744074049,8.76477709684095
43059,C12H13N3O2,secondary,NC(=O)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12,7,base,pKAH1,8.69,chembl,XUYLQSPCFOVCBQ-BXKDBHETSA-N,8.422664890727578,8.333247933201225
8685,C9H13NO2,tertiary,COC(=O)C1=CC2CCN(C1)C2,9,base,pKAH1,8.08,chembl,ZZIYLVCIMJMLLL-UHFFFAOYSA-N,8.62998928460556,8.572199651804658
34261,C3H9NO,primary,NCCCO,0,base,pKAH1,9.84,chembl,WUGQZFFCHPXWKQ-UHFFFAOYSA-N,9.97673525188361,10.124391641294935
65450,C12H21N5,tertiary,CCCCCn1nnc(C2=CCCN(C)C2)n1,13,base,pKAH1,7.43,chembl,KXPXMBDYMQHOPI-UHFFFAOYSA-N,8.564250441747324,8.496432352134068
42438,C13H11N5O4,primary,NCc1ccn(-c2cc3nc(O)c(O)nc3cc2[N+](=O)[O-])c1,0,base,pKAH1,8.97,chembl,FZGHHBNFYWQNLS-UHFFFAOYSA-N,9.755819031534218,9.869774663849775
59879,C10H12N2O3,primary,CC(N)C(=O)Nc1cccc(C(=O)O)c1,2,base,pKAH1,8.23,chembl,QYHWEHIYCYSEHK-UHFFFAOYSA-N,8.35307512600105,8.253042253746068
35838,C13H20N2,tertiary,CCCc1ccc(C2CCCN2C)cn1,11,base,pKAH1,8.49,chembl,PRZWMEZZLSVZHL-UHFFFAOYSA-N,9.052641106928917,9.059326986055911
49192,C13H16N2,secondary,C1=C(c2cccnc2)C[C@H]2CNC[C@@H]1C2,11,base,pKAH1,10.48,chembl,RCSZDVCUNQPLHO-MNOVXSKESA-N,9.899975908168548,10.035922663976326
78427,C13H20N2O3,secondary,OC[C@H](NC[C@H]1NC[C@H](O)[C@@H]1O)c1ccccc1,6,base,pKAH1,9.13,chembl,OGMKEJTXCCFISS-MROQNXINSA-N,8.528474272292199,8.45519853002348
14779,C7H11N7,primary,NCCNc1nc(N)nc2[nH]cnc12,0,base,pKAH1,9.37,chembl,SBXHVNKVDXBPCA-UHFFFAOYSA-N,9.279332141819294,9.320599725678273
21579,C12H25N,secondary,C1CCCCCCNCCCCC1,7,base,pKAH1,10.75,chembl,UFADJPZTTUWZMP-UHFFFAOYSA-N,10.089558598303565,10.254426182920099
12832,C7H9N3O2,secondary,O=C(O)C1Cc2[nH]cnc2CN1,11,base,pKAH1,7.8,chembl,YCFJXOFFQLPCHD-UHFFFAOYSA-N,8.574041464086449,8.507716994385067
46834,C9H15N3,primary,NC[C@@H]1CC[C@H](c2c[nH]cn2)C1,0,base,pKAH1,10.22,chembl,OCAVWRASUZEXJS-SFYZADRCSA-N,10.243298384276246,10.431618964670212
110367,C11H13N3O,secondary,O=C1Nc2ccccc2N2CCNC[C@@H]12,12,base,pKAH1,8.11,chembl,FRZDVWUAWCOHDI-JTQLQIEISA-N,8.705930649016649,8.659725867122082
114592,C10H22N4O2,primary,CC(C)OC(=O)[C@@H](N)CC/N=C(\N)N(C)C,10,base,pKAH1,12.17,chembl,IEWCLTUKTXSQJF-QMMMGPOBSA-N,9.541669475307659,9.622956604762068
27661,C7H13NO2,tertiary,C=CC(=O)OCCN(C)C,7,base,pKAH1,8.42,chembl,DPBJAVGHACCNRL-UHFFFAOYSA-N,8.59486330985846,8.531715211568551
55196,C11H21N3O,secondary,O=C(CN1CCNCC1)N1CCCCC1,6,base,pKAH1,8.92,chembl,PCHXUJGLAFXWIW-UHFFFAOYSA-N,9.481532267477723,9.553645469230993
95568,C9H11NO,primary,N[C@@H]1C[C@@H]1Oc1ccccc1,0,base,pKAH1,9.07,chembl,LWTVCQHYQVDFLN-BDAKNGLRSA-N,9.039852142264888,9.04458706554551
2077,C13H15NO,tertiary,C#CCN(C)[C@H]1CCc2ccc(O)cc21,3,base,pKAH1,7.9,chembl,AXIKLEVFYDZYKE-ZDUSSCGKSA-N,8.598965515233905,8.536443208145275
110020,C10H21NO4,tertiary,CCN(CC)[C@@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,2,base,pKAH1,8.82,chembl,DIGIVTSJABDTNK-ZJDVBMNYSA-N,8.741989946168715,8.701286008043992
76403,C13H19N7,tertiary,CN1CCN(c2cc(-c3cnn(C)c3)nc(N)n2)CC1,1,base,pKAH1,7.55,chembl,JKUYPAIMJPEWND-UHFFFAOYSA-N,8.557461644869953,8.488607924671603
25766,C11H25N3O,primary,NCCCCCCCCNC(=O)CCN,0,base,pKAH1,10.24,chembl,KSNWUAPWTILXFF-UHFFFAOYSA-N,10.23434933704036,10.4213047407775
4860,C10H12N2O2,secondary,C#CCOc1noc2c1CNCCC2,10,base,pKAH1,7.87,chembl,VBFXRCFWGDRJKA-UHFFFAOYSA-N,8.757305492370111,8.718937939964398
73585,C13H24N2O,tertiary,CC1(C)C=C(CN2CCCC2)C(C)(C)N1O,6,base,pKAH1,9.12,chembl,QUIPATFYNBXWKG-UHFFFAOYSA-N,9.379032166016684,9.43550898300759
6345,C10H16N2O,secondary,C[C@H]1C[C@H]1C(=O)N1CC2CC(C1)N2,12,base,pKAH1,9.13,chembl,INYNWEUTASDACG-DFAZKQQPSA-N,9.239497405683636,9.274688202766349
15643,C12H16N2,primary,Cc1cccc2c1ccn2CC(C)N,13,base,pKAH1,9.92,chembl,YMEHSPLPRQDLLW-UHFFFAOYSA-N,9.691985278314132,9.796203075135404
105157,C9H10N4O2,primary,NCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,0,base,pKAH1,7.98,chembl,VRPBYMLDIVHQOX-UHFFFAOYSA-N,8.457787386209509,8.373728363410455
44412,C12H15N3O2,primary,Cn1c(=O)c2ccccc2c(=O)n1CCCN,16,base,pKAH1,9.77,chembl,UAOSFJLVFAVJIM-UHFFFAOYSA-N,8.578628814743743,8.513004145129337
72345,C10H16N2O,tertiary,CN(C)CC#CC1CCC(=O)N1C,1,base,pKAH1,7.97,chembl,GIXNSQJALPPKCL-UHFFFAOYSA-N,8.339749794131619,8.237684143242989
44273,C10H16N4,tertiary,Cn1ncc(C23CCCN(CC2)C3)n1,9,base,pKAH1,8.99,chembl,NPLDJYAXTQQUGB-UHFFFAOYSA-N,9.388002827272752,9.44584811813806
51027,C9H18N2O,primary,CCC(N)C(=O)N1CCCCC1,3,base,pKAH1,8.44,chembl,ZCICKIPNYNVXMI-UHFFFAOYSA-N,8.751754920140964,8.712540628251201
