ID,Formula,SMILES,CAS,Set,InChI Key,expt_value,random_Forest_predicted_pka_value,RF_Error,linear_predicted_pka,LFER_Error,Delta_Error
PPZ,C4H10N2,C1CNCCN1,110-85-0,Benchmark,GLUUGHFHXGJENI-UHFFFAOYSA-N,9.82,9.992132671,0.172132671,10.14213794,0.322137935,-0.150005265
PRYE,C6H13NO,C1CCN(C1)CCO,2955-88-6,Benchmark,XBRDBODLCHKXHI-UHFFFAOYSA-N,9.8,9.864835969,0.064835969,9.995422129,0.195422129,-0.13058616
TRIM,C3H9N,CN(C)C,75-50-3,Benchmark,GETQZCLCWQTVFV-UHFFFAOYSA-N,9.8,10.00093773,0.200937734,10.15228621,0.352286211,-0.151348477
IPAE,C5H13NO,CC(C)NCCO,109-56-8,Benchmark,RILLZYSZSDGYGV-UHFFFAOYSA-N,9.78,9.388427192,0.391572808,9.446337219,0.333662781,0.057910028
DEEA,C6H15NO,CCN(CC)CCO,100-37-8,Benchmark,BFSVOASYOCHEOV-UHFFFAOYSA-N,9.75,9.283480303,0.466519697,9.325380688,0.424619312,0.041900386
AMP,C4H11NO,CC(C)(CO)N,124-68-5,Benchmark,CBTVGIZVANVGBH-UHFFFAOYSA-N,9.68,9.508916832,0.171083168,9.585207547,0.094792453,0.076290716
DEA12PD,C7H17NO2,CCN(CC)CC(CO)O,621-56-7,Benchmark,LTACQVCHVAUOKN-UHFFFAOYSA-N,9.68,8.746960211,0.933039789,8.707014487,0.972985513,-0.039945724
1DMA2P,C5H13NO,CC(CN(C)C)O,108-16-7,Benchmark,NCXUNZWLEYGQAH-UHFFFAOYSA-N,9.67,9.275495824,0.394504176,9.316178178,0.353821822,0.040682354
PRLD12PD,C7H15NO2,C1CCN(C1)CC(CO)O,85391-19-1,Benchmark,MFPZRSWYUKWRIQ-UHFFFAOYSA-N,9.64,8.812861328,0.827138672,8.782968816,0.857031184,-0.029892513
12HEPP,C6H13NO,C1CCN(CC1)CO,10/2/2494,Benchmark,RJUAEBLXGFKZMS-UHFFFAOYSA-N,9.57,9.656746486,0.086746486,9.755588607,0.185588607,-0.098842121
2-methylPZ,C5H12N2,CC1CNCCN1,109-07-9,Benchmark,JOMNTHCQHJPVAZ-UHFFFAOYSA-N,9.57,10.07336272,0.503362723,10.23575963,0.665759628,-0.162396905
1PP,C8H17NO,C1CCN(CC1)CCCO,104-58-5,Benchmark,PLRXAFVBCHEMGD-UHFFFAOYSA-N,9.49,9.600414755,0.110414755,9.690663473,0.200663473,-0.090248719
3DMAP,C5H13NO,CN(C)CCCO,3179-63-3,Benchmark,PYSGFFTXMUWEOT-UHFFFAOYSA-N,9.49,9.266369177,0.223630823,9.305659261,0.184340739,0.039290084
3PPE,C8H17NO2,C1CCN(CC1)CC(CO)O,4847-93-2,Benchmark,MECNWXGGNCJFQJ-UHFFFAOYSA-N,9.49,8.957589003,0.532410997,8.949774689,0.540225311,-0.007814314
AEP,C6H15N3,C1CN(CCN1)CCN,140-31-8,Benchmark,IMUDHTPIFIBORV-UHFFFAOYSA-N,9.48,10.18857117,0.708571173,10.36854312,0.888543121,-0.179971947
DMIPA,C5H13N,CC(C)N(C)C,996-35-0,Benchmark,VMOWKUTXPNPTEN-UHFFFAOYSA-N,9.47,10.06673095,0.596730945,10.22811617,0.758116173,-0.161385227
1AP,C3H9NO,CC(CN)O,78-96-6,Benchmark,HXKKHQJGJAFBHI-UHFFFAOYSA-N,9.45,9.46987926,0.01987926,9.540214796,0.090214796,-0.070335536
MEA,C2H7NO,NCCO,141-43-5,Benchmark,HZAXFHJVJLSVMW-UHFFFAOYSA-N,9.44,9.46345976,0.02345976,9.532816002,0.092816002,-0.069356242
2AEE,C4H11NO2,C(COCCO)N,929-06-6,Benchmark,GIAFURWZWWWBQT-UHFFFAOYSA-N,9.42,9.712988888,0.292988888,9.820410784,0.400410784,-0.107421896
2DIPA,C8H19NO,CC(C)N(CCO)C(C)C,96-80-0,Benchmark,ZYWUVGFIXPNBDL-UHFFFAOYSA-N,9.42,9.330209195,0.089790805,9.379238071,0.040761929,0.049028875
